0.8	0.9	0.02	0.2	7	27.75	0.5	70.2
0.9	0.2	0.02	0.1	8	28.5	0.5	70.2
0.9	0.3	0.03	0.1	8.2	27.75	0.5	55.1
0.8	0.5	0.03	0.2	8	27.75	0.5	54.4
0.8	0.4	0.03	1.5	8.4	27.75	0.5	65.2
0.8	0.3	0.04	2.1	8.1	17.9	0.5	60.5
0.9	0.2	0.04	2.4	8.7	17.7	0.5	60.5
0.9	0.3	0.03	2.2	9.3	17.7	0.5	61.2
0.9	0.1	0.03	1.9	8.8	17.3	0.5	63
0.9	1.3	0.03	1.4	7.5	17.3	0.5	62.3
0.8	1.3	0.03	1.2	7.5	17.3	0.5	60.5
0.8	0.5	0.03	0.7	7.8	17.5	0.5	60.5
0.9	0.3	0.02	1.2	8.4	17.7	0.5	58
1	0.4	0.02	1.2	8.1	17.7	0.5	58
1	1	0.01	1	7.5	17.3	0.5	56.7
0.9	0.6	0.01	0.7	8.5	17.3	0.5	57.9
1	0.5	0.02	0.7	8.5	15	0.8	59
1.2	0.2	0.02	0.9	8.9	12.4	3.6	58.3
1	1.5	0.02	1.2	7.9	12.3	4.4	57.6
1	0.9	0.03	0.9	7.6	12.1	3.9	58.3
1	0.2	0.03	0.3	7.8	12.1	3.9	60.1
1	0.3	0.03	0.3	8.3	12.1	3.4	58.3
0.9	0.5	0.03	0.2	8	11.9	4.3	57.6
0.9	0.4	0.03	0.2	7.5	12.1	3.4	56.5
0.9	0.3	0.03	0.1	7.5	12.1	3.4	54.7
1	0.2	0.03	0.1	7.6	12.1	3.4	51.1
1.1	0.3	0.03	0.2	8.1	12.1	3.1	56.5
1.1	0.1	0.03	1.5	8.4	12.3	4	53.3
1.8	1.3	0.5	2.1	11.2	17.4	0.5	50.5
2.4	1.3	0.6	2.4	46	39	0.5	12.2
2.1	0.5	0.7	2.2	27.2	20.8	42	0.3
1.9	0.3	0.6	1.9	17.7	14.5	30.9	10.2
