0.71	0.71	0.17	0.71	0.71	0.71	0.18	0.54
0.74	0.74	0.16	0.74	0.74	0.74	0.19	0.57
0.78	0.78	0.18	0.78	0.78	0.78	0.2	0.57
0.75	0.75	0.15	0.75	0.75	0.75	0.19	0.57
0.68	0.68	0.07	0.68	0.68	0.68	0.17	0.51
0.71	0.71	0.07	0.71	0.71	0.71	0.18	0.54
0.71	0.71	0.07	0.71	0.71	0.71	0.18	0.54
0.43	0.62	0.06	0.62	0.62	0.62	0.16	0.48
0.5	0.71	0.06	0.71	0.71	0.71	0.18	0.54
0.47	0.67	0.07	0.67	0.67	0.67	0.17	0.51
0.49	0.7	0.06	0.7	0.7	0.7	0.18	0.53
0.5	0.72	0.06	0.72	0.72	0.72	0.18	0.54
0.5	0.71	0.06	0.71	0.71	0.71	0.18	0.54
0.5	0.72	0.06	0.72	0.72	0.72	0.18	0.54
0.49	0.7	0.06	0.7	0.7	0.7	0.18	0.51
0.49	0.7	0.05	0.7	0.7	0.7	0.18	0.51
0.47	0.67	0.05	0.67	0.67	0.67	0.17	0.51
0.46	0.65	0.05	0.65	0.65	0.65	0.16	0.48
0.48	0.68	0.06	0.68	0.68	0.68	0.17	0.51
0.46	0.65	0.04	0.65	0.65	0.65	0.16	0.48
0.5	0.72	0.05	0.72	0.72	0.72	0.18	0.54
0.43	0.61	0.05	0.61	0.61	0.61	0.15	0.45
0.51	0.51	0.05	0.51	0.51	0.51	0.13	0.39
0.56	0.56	0.05	0.56	0.56	0.56	0.14	0.42
0.56	0.56	0.04	0.56	0.56	0.56	0.14	0.42
0.47	0.47	0.05	0.47	0.47	0.47	0.12	0.36
0.49	0.49	0.05	0.49	0.49	0.49	0.12	0.36
0.52	0.52	0.06	0.52	0.52	0.52	0.13	0.39
0.45	0.45	0.06	0.45	0.45	0.45	0.11	0.33
0.48	0.48	0.07	0.48	0.48	0.48	0.12	0.36
0.45	0.45	0.07	0.45	0.45	0.45	0.11	0.33
0.26	0.43	0.05	0.43	0.43	0.43	0.11	0.33
0.26	0.43	0.03	0.43	0.43	0.43	0.11	0.33
0.23	0.39	0.04	0.39	0.39	0.39	0.1	0.3
0.23	0.38	0.05	0.38	0.38	0.38	0.1	0.27
0.23	0.38	0.06	0.38	0.38	0.38	0.1	0.27
0.27	0.45	0.07	0.45	0.45	0.45	0.11	0.33
0.19	0.31	0.08	0.31	0.31	0.31	0.08	0.24
0.23	0.38	0.05	0.38	0.38	0.38	0.1	0.27
0.2	0.34	0.05	0.34	0.34	0.34	0.09	0.27
0.21	0.35	0.05	0.35	0.35	0.35	0.09	0.27
0.22	0.36	0.05	0.36	0.36	0.36	0.09	0.27
0.2	0.33	0.05	0.33	0.33	0.33	0.08	0.24
0.22	0.36	0.05	0.36	0.36	0.36	0.09	0.27
0.25	0.41	0.05	0.41	0.41	0.41	0.1	0.3
0.27	0.45	0.05	0.45	0.45	0.45	0.11	0.11
0.29	0.49	0.05	0.49	0.49	0.49	0.12	0.12
0.31	0.52	0.05	0.52	0.52	0.52	0.13	0.13
0.34	0.56	0.05	0.56	0.56	0.56	0.14	0.14
0.24	0.4	0.05	0.4	0.4	0.4	0.1	0.1
0.14	0.24	0.05	0.24	0.24	0.24	0.06	0.06
0.19	0.32	0.05	0.32	0.32	0.32	0.08	0.08
0.24	0.4	0.05	0.4	0.4	0.4	0.1	0.1
0.29	0.49	0.05	0.49	0.49	0.49	0.12	0.12
0.34	0.57	0.04	0.57	0.57	0.57	0.14	0.14
0.39	0.65	0.05	0.65	0.65	0.65	0.16	0.16
0.25	0.41	0.05	0.41	0.41	0.41	0.1	0.1
0.23	0.39	0.05	0.39	0.39	0.39	0.1	0.1
0.23	0.39	0.05	0.39	0.39	0.39	0.1	0.1
0.23	0.39	0.04	0.39	0.39	0.39	0.1	0.1
0.21	0.12	0.04	0.35	0.35	0.35	0.09	0.09
0.22	0.12	0.04	0.36	0.36	0.36	0.09	0.09
0.23	0.13	0.04	0.38	0.38	0.38	0.1	0.09
0.23	0.13	0.04	0.38	0.38	0.38	0.1	0.09
0.24	0.13	0.04	0.4	0.4	0.4	0.1	0.1
0.08	0.14	0.04	0.42	0.42	0.42	0.11	0.1
0.12	0.13	0.05	0.4	0.4	0.4	0.1	0.1
0.12	0.14	0.04	0.41	0.41	0.41	0.1	0.1
0.12	0.14	0.05	0.41	0.41	0.41	0.1	0.1
0.11	0.13	0.04	0.38	0.38	0.38	0.1	0.09
0.11	0.13	0.04	0.38	0.38	0.38	0.1	0.09
0.11	0.12	0.05	0.36	0.36	0.36	0.09	0.09
0.1	0.11	0.05	0.33	0.33	0.33	0.08	0.08
0.1	0.11	0.05	0.34	0.34	0.34	0.09	0.09
0.11	0.12	0.05	0.36	0.36	0.36	0.09	0.09
0.11	0.12	0.05	0.23	0.35	0.35	0.09	0.09
0.1	0.11	0.05	0.26	0.34	0.34	0.09	0.09
0.1	0.11	0.05	0.22	0.32	0.32	0.08	0.08
0.1	0.11	0.05	0.18	0.32	0.32	0.08	0.08
0.1	0.11	0.05	0.2	0.33	0.33	0.08	0.08
0.1	0.11	0.05	0.2	0.32	0.32	0.08	0.08
0.09	0.1	0.05	0.17	0.31	0.31	0.08	0.08
0.09	0.1	0.06	0.18	0.12	0.3	0.08	0.08
0.1	0.11	0.05	0.19	0.13	0.33	0.08	0.08
0.11	0.12	0.07	0.16	0.15	0.37	0.09	0.09
0.1	0.11	0.07	0.17	0.13	0.33	0.08	0.08
0.1	0.11	0.08	0.16	0.14	0.34	0.09	0.09
